college_rank,college,minutes_played
0,Kentucky,538292.0
1,Duke,535270.0
2,UNC,504352.0
3,Arizona,419753.0
4,UCLA,397511.0
5,UConn,366593.0
6,Kansas,339051.0
7,Michigan,299274.0
8,Georgia Tech,280831.0
9,Texas,244750.0
10,Florida,222518.0
11,Georgetown,220643.0
12,Michigan State,211066.0
13,Syracuse,202993.0
14,Wake Forest,199844.0
15,Villanova,177224.0
16,Alabama,173884.0
17,Maryland,166754.0
18,California,152781.0
19,Ohio State,147805.0
20,LSU,146805.0
21,Stanford,145054.0
22,UNLV,144381.0
23,Arkansas,140541.0
24,USC,138936.0
25,Memphis,138363.0
26,Florida State,127836.0
27,Indiana,126102.0
28,Cincinnati,120217.0
29,Washington,118125.0
30,Xavier,117258.0
31,Utah,117196.0
32,Illinois,114791.0
33,Louisville,112337.0
34,Marquette,105090.0
35,Oklahoma,103766.0
36,Clemson,95847.0
37,Oregon,92933.0
38,Missouri,88923.0
39,Oklahoma State,87315.0
40,Temple,87110.0
41,Boston College,85667.0
42,Wisconsin,79463.0
43,Providence,78095.0
44,Tennessee,75677.0
45,Colorado,74178.0
46,Oregon State,73742.0
47,St. John's,72961.0
48,Iowa State,72515.0
49,Virginia,71890.0
50,Minnesota,70959.0
51,Notre Dame,70876.0
52,Louisiana Tech,69704.0
53,NC State,68320.0
54,Georgia,66430.0
55,Texas-El Paso,66045.0
56,New Mexico,63318.0
57,Fresno State,62687.0
58,Gonzaga,62502.0
59,Purdue,60952.0
60,Arizona State,60467.0
61,Rhode Island,59752.0
62,DePaul,59185.0
63,Texas A&M,58445.0
64,Pitt,52968.0
65,Miami (FL),51462.0
66,Iowa,50542.0
67,Creighton,47085.0
68,Seton Hall,46610.0
69,Cal State Long Beach,43620.0
70,Nevada,43433.0
71,Saint Joseph's,42051.0
72,La Salle,39059.0
73,Santa Clara,38069.0
74,TCU,37149.0
75,Baylor,36642.0
76,Little Rock,32719.0
77,Murray State,31302.0
78,Butler,31224.0
79,Wyoming,30569.0
80,Nebraska,30566.0
81,Auburn,30537.0
82,Saint Louis,29740.0
83,UMass,29605.0
84,Trinity Valley CC,29293.0
85,Davidson,28361.0
86,Pepperdine,27999.0
87,Southern Miss,27736.0
88,Bowling Green,27594.0
89,Butler County Community College,27398.0
