,id,year,rank,overall_pick,team,player,college,years_active,games,minutes_played,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement,college_rank
1502,1503,2015,1,1,MIN,Karl-Anthony Towns,Kentucky,7.0,482.0,16472.0,11170.0,5465.0,1486.0,0.527,0.397,0.833,34.2,23.2,11.3,3.1,66.1,0.193,4.8,28.3,0
1322,1323,2012,1,1,NOH,Anthony Davis,Kentucky,10.0,604.0,20805.0,14390.0,6163.0,1414.0,0.515,0.303,0.794,34.4,23.8,10.2,2.3,91.3,0.211,6.0,42.1,0
1202,1203,2010,1,1,WAS,John Wall,Kentucky,10.0,613.0,21833.0,11702.0,2612.0,5557.0,0.431,0.323,0.779,35.6,19.1,4.3,9.1,44.1,0.097,2.4,24.0,0
1323,1324,2012,2,2,CHA,Michael Kidd-Gilchrist,Kentucky,8.0,446.0,10978.0,3750.0,2420.0,515.0,0.474,0.272,0.715,24.6,8.4,5.4,1.2,21.0,0.092,-1.8,0.6,0
219,220,1993,4,4,DAL,Jamal Mashburn,Kentucky,11.0,611.0,22762.0,11644.0,3271.0,2414.0,0.418,0.345,0.766,37.3,19.1,5.4,4.0,43.7,0.092,0.3,13.4,0
1626,1627,2017,5,5,SAC,De'Aaron Fox,Kentucky,5.0,322.0,10325.0,6148.0,1138.0,2005.0,0.462,0.32,0.725,32.1,19.1,3.5,6.2,15.7,0.073,0.1,5.4,0
1206,1207,2010,5,5,SAC,DeMarcus Cousins,Kentucky,11.0,654.0,19509.0,12802.0,6664.0,1979.0,0.46,0.331,0.737,29.8,19.6,10.2,3.0,46.8,0.115,2.4,21.6,0
387,388,1996,6,6,BOS,Antoine Walker,Kentucky,12.0,893.0,31531.0,15647.0,6891.0,3170.0,0.414,0.325,0.633,35.3,17.5,7.7,3.5,38.1,0.058,0.3,18.0,0
1507,1508,2015,6,6,SAC,Willie Cauley-Stein,Kentucky,7.0,422.0,9276.0,3675.0,2470.0,598.0,0.544,0.188,0.612,22.0,8.7,5.9,1.4,23.3,0.121,-0.1,4.4,0
445,446,1997,6,6,BOS,Ron Mercer,Kentucky,8.0,432.0,13418.0,5892.0,1342.0,921.0,0.429,0.25,0.808,31.1,13.6,3.1,2.1,9.4,0.034,-2.7,-2.5,0
1387,1388,2013,6,6,NOH,Nerlens Noel,Kentucky,8.0,450.0,10086.0,3303.0,2789.0,491.0,0.549,0.154,0.655,22.4,7.3,6.2,1.1,28.3,0.134,0.9,7.5,0
