,id,year,rank,overall_pick,team,player,college,years_active,games,minutes_played,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement,college_rank
903,904,2005,2,2,ATL,Marvin Williams,UNC,15.0,1072.0,30159.0,10965.0,5546.0,1373.0,0.443,0.361,0.808,28.1,10.2,5.2,1.3,65.1,0.104,-0.4,12.3,2
326,327,1995,3,3,PHI,Jerry Stackhouse,UNC,18.0,970.0,30222.0,16409.0,3067.0,3240.0,0.409,0.309,0.822,31.2,16.9,3.2,3.3,52.4,0.083,0.3,17.4,2
500,501,1998,4,4,TOR,Antawn Jamison,UNC,16.0,1083.0,37638.0,20042.0,8157.0,1761.0,0.451,0.346,0.724,34.8,18.5,7.5,1.6,87.8,0.112,0.6,24.5,2
327,328,1995,4,4,WSB,Rasheed Wallace,UNC,16.0,1109.0,36243.0,16006.0,7404.0,1994.0,0.467,0.336,0.721,32.7,14.4,6.7,1.8,105.1,0.139,2.2,38.3,2
4,5,1989,5,5,CHH,J.R. Reid,UNC,11.0,672.0,15370.0,5680.0,3381.0,639.0,0.472,0.135,0.716,22.9,8.5,5.0,1.0,22.5,0.07,-2.9,-3.7,2
501,502,1998,5,5,GSW,Vince Carter,UNC,22.0,1541.0,46367.0,25728.0,6606.0,4714.0,0.435,0.371,0.798,30.1,16.7,4.3,3.1,125.3,0.13,3.0,57.9,2
906,907,2005,5,5,CHA,Raymond Felton,UNC,14.0,971.0,28829.0,10853.0,2867.0,5096.0,0.412,0.329,0.79,29.7,11.2,3.0,5.2,40.2,0.067,-0.6,10.1,2
1328,1329,2012,7,7,GSW,Harrison Barnes,UNC,10.0,747.0,23763.0,10566.0,3817.0,1376.0,0.453,0.379,0.804,31.8,14.1,5.1,1.8,44.8,0.091,-0.8,7.1,2
1748,1749,2019,7,7,CHI,Coby White,UNC,3.0,195.0,5505.0,2672.0,696.0,679.0,0.413,0.365,0.851,28.2,13.7,3.6,3.5,5.6,0.049,-2.5,-0.6,2
1029,1030,2007,8,8,CHA,Brandan Wright,UNC,10.0,428.0,6949.0,2976.0,1560.0,199.0,0.607,0.0,0.674,16.2,7.0,3.6,0.5,26.2,0.181,2.3,7.5,2
278,279,1994,9,9,BOS,Eric Montross,UNC,8.0,465.0,8479.0,2071.0,2159.0,207.0,0.49,0.0,0.478,18.2,4.5,4.6,0.4,8.5,0.048,-4.4,-5.2,2
1752,1753,2019,11,11,MIN,Cameron Johnson,UNC,3.0,183.0,4422.0,1899.0,659.0,254.0,0.44,0.39,0.843,24.2,10.4,3.6,1.4,10.9,0.118,1.1,3.5,2
227,228,1993,12,12,LAL,George Lynch,UNC,12.0,774.0,17683.0,5109.0,3902.0,1121.0,0.446,0.306,0.652,22.8,6.6,5.0,1.4,32.3,0.088,-0.4,7.3,2
1334,1335,2012,13,13,PHO,Kendall Marshall,UNC,4.0,160.0,3083.0,802.0,253.0,779.0,0.399,0.37,0.611,19.3,5.0,1.6,4.9,1.0,0.015,-3.5,-1.1,2
914,915,2005,13,13,CHA,Sean May,UNC,4.0,119.0,1868.0,821.0,481.0,115.0,0.458,0.231,0.746,15.7,6.9,4.0,1.0,2.6,0.068,-1.7,0.2,2
1214,1215,2010,13,13,TOR,Ed Davis,UNC,12.0,722.0,13756.0,4291.0,4616.0,539.0,0.567,0.0,0.583,19.1,5.9,6.4,0.7,43.3,0.151,-0.2,6.2,2
1154,1155,2009,13,13,IND,Tyler Hansbrough,UNC,7.0,428.0,7233.0,2881.0,1808.0,181.0,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,-2.0,0.0,2
1335,1336,2012,14,14,MIL,John Henson,UNC,8.0,445.0,8752.0,3383.0,2368.0,496.0,0.54,0.25,0.568,19.7,7.6,5.3,1.1,20.7,0.113,-0.5,3.4,2
915,916,2005,14,14,MIN,Rashad McCants,UNC,4.0,249.0,5037.0,2479.0,506.0,331.0,0.431,0.368,0.741,20.2,10.0,2.0,1.3,3.6,0.035,-1.7,0.4,2
1636,1637,2017,15,15,POR,Justin Jackson,UNC,5.0,255.0,4779.0,1656.0,637.0,276.0,0.426,0.321,0.799,18.7,6.5,2.5,1.1,5.3,0.053,-2.8,-1.0,2
1816,1817,2020,15,15,ORL,Cole Anthony,UNC,2.0,112.0,3332.0,1667.0,569.0,561.0,0.393,0.337,0.846,29.8,14.9,5.1,5.0,1.6,0.023,-2.0,0.0,2
1338,1339,2012,17,17,DAL,Tyler Zeller,UNC,8.0,414.0,7254.0,2873.0,1820.0,367.0,0.508,0.286,0.764,17.5,6.9,4.4,0.9,17.1,0.113,-2.0,0.0,2
1159,1160,2009,18,18,MIN,Ty Lawson,UNC,8.0,551.0,16088.0,6977.0,1506.0,3316.0,0.46,0.359,0.77,29.2,12.7,2.7,6.0,42.1,0.126,1.4,13.6,2
690,691,2001,20,20,CLE,Brendan Haywood,UNC,13.0,816.0,18680.0,5538.0,4875.0,442.0,0.528,0.0,0.587,22.9,6.8,6.0,0.5,43.8,0.113,-1.4,2.9,2
181,182,1992,20,20,NYK,Hubert Davis,UNC,12.0,685.0,15143.0,5583.0,1045.0,1172.0,0.458,0.441,0.837,22.1,8.2,1.5,1.7,27.7,0.088,-0.9,4.2,2
691,692,2001,21,21,BOS,Joseph Forte,UNC,2.0,25.0,125.0,30.0,17.0,17.0,0.234,0.0,0.8,5.0,1.2,0.7,0.7,-0.4,-0.166,-8.6,-0.2,2
131,132,1991,24,24,BOS,Rick Fox,UNC,13.0,930.0,23723.0,8966.0,3517.0,2649.0,0.45,0.349,0.77,25.5,9.6,3.8,2.8,44.7,0.09,0.0,11.7,2
1766,1767,2019,25,25,POR,Nassir Little,UNC,3.0,138.0,2301.0,802.0,472.0,99.0,0.455,0.317,0.727,16.7,5.8,3.4,0.7,3.4,0.071,-2.3,-0.2,2
1406,1407,2013,25,25,LAC,Reggie Bullock,UNC,9.0,434.0,9775.0,3382.0,1095.0,524.0,0.427,0.385,0.842,22.5,7.8,2.5,1.2,18.1,0.089,-0.8,3.0,2
1586,1587,2016,25,25,LAC,Brice Johnson,UNC,2.0,21.0,107.0,47.0,34.0,3.0,0.449,0.0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-0.6,0.0,2
1467,1468,2014,26,26,MIA,P.J. Hairston,UNC,2.0,111.0,2000.0,664.0,266.0,59.0,0.343,0.295,0.81,18.0,6.0,2.4,0.5,0.9,0.021,-3.9,-1.0,2
134,135,1991,27,27,SAC,Pete Chilcutt,UNC,9.0,584.0,8394.0,2494.0,1935.0,488.0,0.441,0.381,0.696,14.4,4.3,3.3,0.8,10.6,0.06,-1.8,0.3,2
1169,1170,2009,28,28,MIN,Wayne Ellington,UNC,13.0,770.0,16100.0,6190.0,1643.0,852.0,0.41,0.382,0.843,20.9,8.0,2.1,1.1,21.1,0.063,-1.5,2.2,2
1649,1650,2017,28,28,LAL,Tony Bradley,UNC,5.0,167.0,1961.0,773.0,718.0,89.0,0.634,0.429,0.672,11.7,4.6,4.3,0.5,7.4,0.181,0.2,1.1,2
1890,1891,2021,29,29,PHO,Day'Ron Sharpe,UNC,1.0,32.0,391.0,198.0,160.0,17.0,0.577,0.286,0.585,12.2,6.2,5.0,0.5,1.2,0.152,-2.8,-0.1,2
468,469,1997,29,29,HOU,Serge Zwikker,UNC,,,,,,,,,,,,,,,,,,2
530,531,1998,34,34,CHI,Shammond Williams,UNC,7.0,325.0,5351.0,1892.0,518.0,765.0,0.401,0.366,0.798,16.5,5.8,1.6,2.4,8.8,0.079,-0.7,1.7,2
418,419,1996,37,37,DEN,Jeff McInnis,UNC,11.0,576.0,15927.0,5396.0,1170.0,2514.0,0.431,0.328,0.796,27.7,9.4,2.0,4.4,23.1,0.07,-2.1,-0.3,2
1000,1001,2006,39,39,MIL,David Noel,UNC,1.0,68.0,792.0,184.0,123.0,65.0,0.367,0.321,0.86,11.6,2.7,1.8,1.0,0.4,0.024,-3.1,-0.2,2
1065,1066,2007,44,44,ORL,Reyshawn Terry,UNC,,,,,,,,,,,,,,,,,,2
1187,1188,2009,46,46,CLE,Danny Green,UNC,13.0,819.0,20743.0,7143.0,2811.0,1270.0,0.421,0.399,0.804,25.3,8.7,3.4,1.6,49.1,0.114,1.9,20.2,2
1616,1617,2016,55,55,BRK,Marcus Paige,UNC,1.0,5.0,28.0,12.0,4.0,3.0,0.286,0.25,1.0,5.6,2.4,0.8,0.6,0.0,-0.006,-8.8,0.0,2
1559,1560,2015,58,58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,,2
